population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,47,Czechia,1,Male,22,All ages,515,Asthma,1,Number,2019,37.307788441357566,42.923033526380316,32.05197191109942
1,All Population,1,Deaths,47,Czechia,2,Female,22,All ages,515,Asthma,1,Number,2019,86.7902611161606,101.31017383206418,72.3388440573427
1,All Population,1,Deaths,47,Czechia,1,Male,22,All ages,515,Asthma,2,Percent,2019,0.000642991208338939,0.0007413196280315548,0.0005532613903756643
1,All Population,1,Deaths,47,Czechia,2,Female,22,All ages,515,Asthma,2,Percent,2019,0.001569239157009136,0.001841184809133718,0.001313660560844224
1,All Population,1,Deaths,47,Czechia,1,Male,22,All ages,515,Asthma,3,Rate,2019,0.7101968128720222,0.8170894840671243,0.6101462790619944
1,All Population,1,Deaths,47,Czechia,2,Female,22,All ages,515,Asthma,3,Rate,2019,1.6023264917266167,1.8703939050866434,1.3355236488898856
1,All Population,1,Deaths,47,Czechia,1,Male,24,15-49 years,515,Asthma,1,Number,2019,1.1002434366702287,1.4460453210746127,0.835034098519081
1,All Population,1,Deaths,47,Czechia,2,Female,24,15-49 years,515,Asthma,1,Number,2019,1.8216460245528692,2.26820555659596,1.4097159097069827
1,All Population,1,Deaths,47,Czechia,1,Male,24,15-49 years,515,Asthma,2,Percent,2019,0.00032261607070641405,0.0004235136301035899,0.0002466626021713055
1,All Population,1,Deaths,47,Czechia,2,Female,24,15-49 years,515,Asthma,2,Percent,2019,0.00120087343499657,0.0014945102729079535,0.0009258542206515635
1,All Population,1,Deaths,47,Czechia,1,Male,24,15-49 years,515,Asthma,3,Rate,2019,0.04423177407609016,0.058133634624652965,0.03356987950167433
1,All Population,1,Deaths,47,Czechia,2,Female,24,15-49 years,515,Asthma,3,Rate,2019,0.07743280587015551,0.09641473599713923,0.05992287024873774
1,All Population,1,Deaths,47,Czechia,1,Male,25,50-69 years,515,Asthma,1,Number,2019,11.422416147521353,13.637593410620571,9.44533070126584
1,All Population,1,Deaths,47,Czechia,2,Female,25,50-69 years,515,Asthma,1,Number,2019,13.615536112460498,16.416676164354385,11.289861751688328
1,All Population,1,Deaths,47,Czechia,1,Male,25,50-69 years,515,Asthma,2,Percent,2019,0.0006808692553617997,0.0008168244206715288,0.0005680439420666188
1,All Population,1,Deaths,47,Czechia,2,Female,25,50-69 years,515,Asthma,2,Percent,2019,0.0016374899762363732,0.0019668719596289356,0.0013499105243143506
1,All Population,1,Deaths,47,Czechia,1,Male,25,50-69 years,515,Asthma,3,Rate,2019,0.8733680925825316,1.0427425152982521,0.7221983818341136
1,All Population,1,Deaths,47,Czechia,2,Female,25,50-69 years,515,Asthma,3,Rate,2019,1.0010721670811271,1.2070239062477475,0.8300786892604087
1,All Population,1,Deaths,47,Czechia,1,Male,26,70+ years,515,Asthma,1,Number,2019,24.769366699197622,28.235124131818136,21.42838912950078
1,All Population,1,Deaths,47,Czechia,2,Female,26,70+ years,515,Asthma,1,Number,2019,71.32285400417327,83.06898646182945,58.919928137447606
1,All Population,1,Deaths,47,Czechia,1,Male,26,70+ years,515,Asthma,2,Percent,2019,0.0006589289320181807,0.0007514378559036551,0.0005693504184452542
1,All Population,1,Deaths,47,Czechia,2,Female,26,70+ years,515,Asthma,2,Percent,2019,0.0015743708780990623,0.0018392550341517439,0.0013155579597512585
1,All Population,1,Deaths,47,Czechia,1,Male,26,70+ years,515,Asthma,3,Rate,2019,4.267389673907399,4.864487599738169,3.6917894433959595
1,All Population,1,Deaths,47,Czechia,2,Female,26,70+ years,515,Asthma,3,Rate,2019,8.21046373862316,9.562641746068127,6.782677729448272
1,All Population,1,Deaths,47,Czechia,1,Male,27,Age-standardized,515,Asthma,3,Rate,2019,0.43193185251067545,0.493317715326309,0.37221913026402087
1,All Population,1,Deaths,47,Czechia,2,Female,27,Age-standardized,515,Asthma,3,Rate,2019,0.6548154814182724,0.7658638356072909,0.5494803290938414
1,All Population,1,Deaths,47,Czechia,1,Male,39,0-14 years,515,Asthma,1,Number,2019,0.015762157968357525,0.021529987681819275,0.010442718364403783
1,All Population,1,Deaths,47,Czechia,2,Female,39,0-14 years,515,Asthma,1,Number,2019,0.030224974973953895,0.043060333237346156,0.019314710490417514
1,All Population,1,Deaths,47,Czechia,1,Male,39,0-14 years,515,Asthma,2,Percent,2019,6.428781898315442e-05,8.837635522489511e-05,4.2929476950423406e-05
